Date,Open,High,Low,Close,Volume
19-08-2019,11094.79981,11146.90039,11037.84961,11053.90039,369500
20-08-2019,11063.90039,11076.29981,10985.29981,11017,444700
21-08-2019,11018.15039,11034.2002,10906.65039,10918.7002,557900
22-08-2019,10905.29981,10908.25,10718.29981,10741.34961,668200
23-08-2019,10699.59961,10862.54981,10637.15039,10829.34961,667100
26-08-2019,11000.29981,11070.29981,10756.54981,11057.84961,684100
27-08-2019,11106.54981,11141.75,11049.5,11105.34961,685600
28-08-2019,11101.29981,11129.65039,10987.65039,11046.09961,550000
29-08-2019,10996.04981,11021.09961,10922.40039,10948.29981,649900
30-08-2019,10987.79981,11042.59961,10874.79981,11023.25,628200
03-09-2019,10960.9502,10967.5,10772.7002,10797.90039,483000
04-09-2019,10790.40039,10858.75,10746.34961,10844.65039,508800
05-09-2019,10860.9502,10920.09961,10816,10847.90039,595700
06-09-2019,10883.79981,10957.04981,10867.4502,10946.2002,497200
09-09-2019,10936.7002,11028.84961,10889.79981,11003.04981,412500
11-09-2019,11028.5,11054.79981,11011.65039,11035.7002,687100
12-09-2019,11058.29981,11081.75,10964.9502,10982.79981,551400
13-09-2019,10986.79981,11084.4502,10945.75,11075.90039,624300
16-09-2019,10994.84961,11052.7002,10968.2002,11003.5,434500
17-09-2019,11000.09961,11000.09961,10796.5,10817.59961,482000
18-09-2019,10872.79981,10885.15039,10804.84961,10840.65039,519200
19-09-2019,10845.2002,10845.2002,10670.25,10704.79981,642600
20-09-2019,10746.79981,11381.90039,10691,11274.2002,1356800
23-09-2019,11542.7002,11694.84961,11471.34961,11600.2002,882800
24-09-2019,11590.7002,11655.04981,11539.2002,11588.2002,651700
25-09-2019,11564.84961,11564.9502,11416.09961,11440.2002,629100
26-09-2019,11469.84961,11610.84961,11466.34961,11571.2002,844500
27-09-2019,11556.34961,11593.59961,11499.75,11512.40039,650000
30-09-2019,11491.15039,11508.25,11390.79981,11474.4502,756800
